,Pays,Année,Valeur (MW),Type,Class
0,Autriche,2013,6019795.0,Export,Bioénergie
1,Autriche,2014,6840015.0,Export,Bioénergie
2,Autriche,2015,7691816.0,Export,Bioénergie
3,Autriche,2016,8176914.0,Export,Bioénergie
4,Autriche,2017,8857933.0,Export,Bioénergie
5,Autriche,2018,10067610.0,Export,Bioénergie
6,Autriche,2019,10737361.0,Export,Bioénergie
7,Autriche,2020,10560826.0,Export,Bioénergie
8,Autriche,2021,10932615.0,Export,Bioénergie
9,Belgique,2013,1850514.0,Export,Bioénergie
10,Belgique,2014,2029356.0,Export,Bioénergie
11,Belgique,2015,1639828.0,Export,Bioénergie
12,Belgique,2016,3336598.0,Export,Bioénergie
13,Belgique,2017,3370941.0,Export,Bioénergie
14,Belgique,2018,3704909.0,Export,Bioénergie
15,Belgique,2019,5904020.0,Export,Bioénergie
16,Belgique,2020,5696606.0,Export,Bioénergie
17,Belgique,2021,4848497.0,Export,Bioénergie
18,Bulgarie,2013,1209083.0,Export,Bioénergie
19,Bulgarie,2014,1467706.0,Export,Bioénergie
20,Bulgarie,2015,1889819.0,Export,Bioénergie
21,Bulgarie,2016,1575529.0,Export,Bioénergie
22,Bulgarie,2017,1328753.0,Export,Bioénergie
23,Bulgarie,2018,2492155.0,Export,Bioénergie
24,Bulgarie,2019,2567427.0,Export,Bioénergie
25,Bulgarie,2020,2290925.0,Export,Bioénergie
26,Bulgarie,2021,2545220.0,Export,Bioénergie
27,Chypre,2013,0.0,Export,Bioénergie
28,Chypre,2014,0.0,Export,Bioénergie
29,Chypre,2015,0.0,Export,Bioénergie
30,Chypre,2016,4399.0,Export,Bioénergie
31,Chypre,2017,0.0,Export,Bioénergie
32,Chypre,2018,0.0,Export,Bioénergie
33,Chypre,2019,0.0,Export,Bioénergie
34,Chypre,2020,0.0,Export,Bioénergie
35,Chypre,2021,0.0,Export,Bioénergie
36,République tchèque,2013,4901537.0,Export,Bioénergie
37,République tchèque,2014,4904191.0,Export,Bioénergie
38,République tchèque,2015,5965150.0,Export,Bioénergie
39,République tchèque,2016,6043501.0,Export,Bioénergie
40,République tchèque,2017,5962066.0,Export,Bioénergie
41,République tchèque,2018,6390049.0,Export,Bioénergie
42,République tchèque,2019,6860758.0,Export,Bioénergie
43,République tchèque,2020,7356389.0,Export,Bioénergie
44,République tchèque,2021,8571532.0,Export,Bioénergie
45,Allemagne,2013,27466043.0,Export,Bioénergie
46,Allemagne,2014,31733132.0,Export,Bioénergie
47,Allemagne,2015,31573497.0,Export,Bioénergie
48,Allemagne,2016,28495869.0,Export,Bioénergie
49,Allemagne,2017,28962022.0,Export,Bioénergie
50,Allemagne,2018,36084569.0,Export,Bioénergie
51,Allemagne,2019,37644775.0,Export,Bioénergie
52,Allemagne,2020,41458500.0,Export,Bioénergie
53,Allemagne,2021,39557370.0,Export,Bioénergie
54,Danemark,2013,1684191.0,Export,Bioénergie
55,Danemark,2014,1795272.0,Export,Bioénergie
56,Danemark,2015,1904553.0,Export,Bioénergie
57,Danemark,2016,2480658.0,Export,Bioénergie
58,Danemark,2017,3662159.0,Export,Bioénergie
59,Danemark,2018,3598684.0,Export,Bioénergie
60,Danemark,2019,3603874.0,Export,Bioénergie
61,Danemark,2020,5466973.0,Export,Bioénergie
62,Danemark,2021,8364300.999999999,Export,Bioénergie
63,Estonie,2013,3824492.0,Export,Bioénergie
